ID,TXT
14082,版本升级后可能出现配置数据丢失，影响正常业务。
14083,可能影响SBC业务数据的热备份
14084,不出Rf口时无影响
14085,如果边界网关所承载的并发呼叫数量进一步上升，超过系统License配置中针对最大并发在线呼叫许可容量部分的会话建立请求将被拒绝，产生呼损降低系统接通率。随着并发呼叫数量的下降，将恢复正常。
14086,ZXUN B200不能及时将ACR发给CCF，当ACR不断被写入文件，文件占用的硬盘空间达到配置的最大可用空间后，之后产生的ACR被丢弃，从而无法进行离线计费，导致商业损失。
14087,不能正常的管理系统资源
14088,信息不能正常的板间交互。
14089,本地硬盘中实际可存放的积压ACR文件大小小于规划值，若产生的ACR不断被写入文件，硬盘被写满后，之后产生的ACR被丢弃，从而无法进行离线计费，导致商业损失。
14090,无法进行NTP时间同步
14091,B200与网络时间不一致，导致业务统计时间有误差。
14092,SBC和NMS的直连接口的性能统计指标超过配置的门限值，该指标相关的业务可能存在异常。
14093,业务阻断
14094,处理出错告警
14095,网管服务受影响
14101,主备单板之间无法通信，无法进行主备之间数据同步，主备功能不可用，影响系统可靠性。
14103,单板或单板的后插卡下电。
14105,单板CPU硬件错误可能导致单板无法正常工作，业务可能无法正常运行。
14120,本告警往往是由于电源电压不稳引起，电压低于紧急低门限，可能会引起单板掉电、风扇转速过低，导致系统运行异常。
14121,本通路不可用，但不影响业务。
14122,如果日志服务发生主备倒换，倒换后的主日志服务器可能无法正常工作。
14123,单板被闭塞，该单板上的功能不可用，导致模块下所有单元的业务不可用。
14124,"1. 如果配置了多条PPP链路来传输业务数据，可能导致其它链路负荷增加。
2. 如果只配置一条PPP链路，可能导致相关业务中断。"
14125,可能业务部分阻断
14126,业务单边阻断
19040110,该设备上的用户业务受影响、以及该设备上下联的设备上的业务受影响
19040111,导致用户带宽跑满，业务受影响
20201228,业务恢复
24011901,MS90 WEB页面无法打开，影响全网业务，无法召开会议。
24011902,H323终端无法呼叫上会，全网终端无法入会。
24011903,影响全网会控业务
24011904,部分终端无法获取MCU资源，影响部分终端会议业务
24011905,转速过慢，引起设备温度上升
24011906,对业务无影响，可能减短风扇寿命。
24011907,可能导致MCU单板掉电或重启，可能影响全网业务，无法召开会议。
24011908,温度过高影响设备性能，可能影响全网业务，无法召开会议。
24011909,部分终端无法获取MCU资源，影响部分终端会议业务
24011910,影响会议管理服务器性能
24011911,影响MCU性能
24011921,MS90 WEB页面无法打开，会议无法正常召开
24011922,MS90 H323端无法呼叫上会
24011923,没有使用SIP终端时无影响，有使用则SIP端无法呼叫上会
24011924,召开会议失败或提示资源不足
24011925,会议画面卡顿
24011926,会议无法召开，会议召开资源不足
24011927,可能影响全网业务，无法召开会议
24011928,SIP终端无法入会，对业务无影响
201109287,根据附加字段中的源告警编号进行分析
201109288,处理器可能故障
201109297,RR服务能力接近瓶颈，将导致RR无法正常调度。
201109298,cache系统RR报该类告警对业务影响较小，用户出网增大。OTT系统RR报该类告警则需要重点关注，OTT用户无法观看视频。
201109299,用户服务质量下降
201109300,调度系统不再向并发连接数超过阈值的设备调度用户请求的处理速度变慢
201109301,出出现部分用户直播卡屏或无法观看视频现象
201109302,影响用户服务质量
201109303,部分用户将无法观看电视
201109304,文件系统异常可能导致缓存文件存储异常
2017102012,对业务可能影响切换成功、掉话率等
2017102013,可能出现没有PM文件、MR文件；对指标统计有影响
2017102014,无KPI指标、无MR报表
2017102015,影响新用户无法接入本小区
2017102016,可能出现没有PM文件、MR文件；对指标统计有影响
2017102017,无法建立X2链路
2017102018,影响基站KPI指标：接入成功率、掉话率
2017102021,可能导致系统异常
2017102022,触发主备状态切换，对业务无影响
2017102023,导致系统异常，业务异常
2017102024,磁盘、整机都会采用备份策略，当一块发生故障时不会影响业务
2017102025,对网关无影响，重复的基站业务异常
2017102029,可能引起链路故障
2017102030,新基站不能接入
2017102031,EAP-AKA基站无法接入
2017102032,移动终端发起4G位置更新，MME会触发SGs接口联合位置更新，若MME发送到MSC Server的位置更新请求消息中携带的位置区在MSC Server上未配置或配置为相邻位置区，SGs接口联合位置更新会失败。
2017102033,部分模块发生隐性故障，影响系统整体的业务处理能力，请维护人员根据告警参数中指标名称的实际意义分析对系统的影响。
2017102034,无法进行业务
2017102035,酒店群障
2017102036,单客房故障
2017102037,影响用户收视
